,name,salary_from,salary_to,salary_currency,area_name,published_at
956,Инженер-механик,,350000.0,KZT,Астана,2022-12-26T08:56:24+0300
957,Оператор-наладчик,50000.0,,RUR,Санкт-Петербург,2022-12-26T08:26:59+0300
958,Токарь,80000.0,90000.0,RUR,Казань,2022-12-26T08:41:00+0300
959,Ведущий специалист отдела внедрения и развития информационных технологий,50000.0,,RUR,Санкт-Петербург,2022-12-26T08:54:28+0300
960,Инженер сервисной службы,,,,Владимир,2022-12-26T08:47:25+0300
961,Рабочий по обслуживанию зданий и сооружений,,25000.0,RUR,Нижний Новгород,2022-12-26T08:41:36+0300
962,Системный администратор,,,,Санкт-Петербург,2022-12-26T08:21:02+0300
963,Специалист информационных технологий,35000.0,,RUR,Волгоград,2022-12-26T08:32:19+0300
964,Руководитель направления эффективности продаж кредитных продуктов,,,,Москва,2022-12-26T08:44:14+0300
965,Наладчик (технолог) станка с ЧПУ,100000.0,150000.0,RUR,Санкт-Петербург,2022-12-26T08:59:02+0300
966,Токарь,80000.0,90000.0,RUR,Оренбург,2022-12-26T08:40:51+0300
967,Старший аналитик по поддержке Jira/Confluence,,,,Санкт-Петербург,2022-12-26T08:41:42+0300
968,Токарь-универсал,70000.0,110000.0,RUR,Челябинск,2022-12-26T08:02:29+0300
969,Аналитик,,,,Алматы,2022-12-26T08:44:07+0300
970,Специалист отдела технической поддержки,,39000.0,RUR,Казань,2022-12-26T08:45:26+0300
971,Консультант внедренец со знанием 1С,70000.0,,RUR,Кемерово,2022-12-26T08:09:57+0300
972,Senior frontend developer,,,,Москва,2022-12-26T08:43:48+0300
973,Программист 1С,180000.0,,RUR,Новокузнецк,2022-12-26T08:11:32+0300
974,QA-инженер Middle/Senior/Lead (автоматизированное/ручное тестирование),,,,Томск,2022-12-26T08:36:11+0300
975,Техник по обслуживанию зданий,,55000.0,RUR,Владивосток,2022-12-26T08:38:03+0300
976,Токарь-расточник 5 разряда,,,,Новоильинский (Пермский край),2022-12-26T08:23:44+0300
977,Монтажник слаботочных систем,140000.0,250000.0,KZT,Шымкент,2022-12-26T08:00:39+0300
978,Фрезеровщик,65000.0,,RUR,Москва,2022-12-26T08:14:21+0300
979,Специалист службы информационных систем,35900.0,,RUR,Воронеж,2022-12-26T08:29:54+0300
980,Системный администратор,200000.0,250000.0,KZT,Алматы,2022-12-26T08:42:18+0300
981,Специалист по информационным технологиям,,34000.0,RUR,Рязань,2022-12-26T08:29:04+0300
982,Токарь,80000.0,90000.0,RUR,Самара,2022-12-26T08:40:13+0300
983,Наладчик ЧПУ (токарь),50000.0,,RUR,Барнаул,2022-12-26T08:54:37+0300
984,Сервисный инженер,100000.0,,RUR,Санкт-Петербург,2022-12-26T08:41:45+0300
985,Специалист по обработке данных (отдел закупок),30000.0,,RUR,Нижний Новгород,2022-12-26T08:04:43+0300
986,Бренд-менеджер (направление СИЗ органов дыхания),85000.0,,RUR,Екатеринбург,2022-12-26T08:38:16+0300
987,Разработчик BI (Frontend),,,,Москва,2022-12-26T08:51:45+0300
988,Токарь,65000.0,,RUR,Челябинск,2022-12-26T08:36:14+0300
989,Инженер-наладчик АСУ ТП / тестировщик шкафов телемеханики / сервисный инженер,45000.0,85000.0,RUR,Саратов,2022-12-26T08:28:56+0300
990,Инженер КИПиА (инженер-электроник),60000.0,60000.0,RUR,Кстово,2022-12-26T08:38:56+0300
991,Аналитик BI (Visiology),,,,Москва,2022-12-26T08:50:28+0300
992,Специалист по информационной безопасности,40000.0,,RUR,Нижний Новгород,2022-12-26T08:58:55+0300
993,Руководитель проекта,,,,Москва,2022-12-26T08:55:08+0300
994,Ведущий специалист регионального ИТ сервиса,,57000.0,RUR,Магнитогорск,2022-12-26T08:46:26+0300
995,Программист .Net,,,,Москва,2022-12-26T08:43:25+0300
996,PHP-разработчик Yii2 (middle backend php developer),120000.0,180000.0,RUR,Новосибирск,2022-12-26T08:06:09+0300
997,Программист 1С,,,,Санкт-Петербург,2022-12-26T08:06:24+0300
998,Ведущий специалист регионального ИТ сервиса,36400.0,72800.0,RUR,Белово,2022-12-26T08:46:39+0300
999,Инженер по инфраструктуре и виртуализации (Главный специалист),70000.0,,RUR,Екатеринбург,2022-12-26T08:03:51+0300
1000,Оператор-консультант 1С,,,,Нижний Новгород,2022-12-26T08:25:13+0300
1001,"Оператор станков с ЧПУ на токарных станках 4,5 разряда",,,,Краснодар,2022-12-26T08:21:49+0300
1002,Чат-менеджер (офис),25000.0,,RUR,Тюмень,2022-12-26T08:59:25+0300
1003,Senior Data Scientist,,,,Ташкент,2022-12-26T08:18:41+0300
1004,Оператор станков с ЧПУ 4 разряда,,,,Челябинск,2022-12-26T08:53:33+0300
1005,Инженер сервисной службы,,,,Калуга,2022-12-26T08:46:50+0300
1006,Главный специалист регионального ИТ сервиса,48000.0,56000.0,RUR,Нижний Новгород,2022-12-26T08:46:06+0300
1007,Оператор-наладчик,50000.0,,RUR,Пушкин,2022-12-26T08:27:09+0300
1008,Мастер слесарного цеха,,120000.0,RUR,Москва,2022-12-26T08:52:03+0300
1009,Токарь-расточник,50000.0,,RUR,Ижевск,2022-12-26T08:37:35+0300
1010,Технический эксперт по смазочным материалам,120000.0,,RUR,Москва,2022-12-26T08:48:41+0300
1011,Маркетолог-аналитик,450000.0,,KZT,Алматы,2022-12-26T08:36:56+0300
1012,Механик холодильного оборудования,,44000.0,RUR,Кострома,2022-12-26T08:58:24+0300
1013,Наладчик станков с ЧПУ,80000.0,80000.0,RUR,Самара,2022-12-26T08:46:51+0300
1014,Оператор станков с ЧПУ,80000.0,90000.0,RUR,Казань,2022-12-26T08:43:37+0300
1015,Системный администратор,60000.0,60000.0,RUR,Самара,2022-12-26T08:46:24+0300
1016,Электромонтер (электрик),,,,Хабаровск,2022-12-26T08:19:00+0300
1017,Вечерний инженер отдела технического обслуживания абонентов,38000.0,50000.0,RUR,Хабаровск,2022-12-26T08:18:59+0300
1018,Senior Product Manager,,,,Москва,2022-12-26T08:02:05+0300
1019,"Главный специалист (Программист 1С, дистанционно)",123000.0,123000.0,RUR,Тюмень,2022-12-26T08:54:11+0300
1020,Аналитик отдела продаж,41600.0,41600.0,RUR,Екатеринбург,2022-12-26T08:57:04+0300
1021,Механик по ремонту грузового автотранспорта,,,,Брянск,2022-12-26T08:28:36+0300
1022,Токарь-расточник 5 разряда,,,,Уральский (Пермский край),2022-12-26T08:01:01+0300
1023,Senior Back-end разработчик,2000.0,3000.0,USD,Ташкент,2022-12-26T08:09:32+0300
1024,Системный администратор,,,,Москва,2022-12-26T08:11:49+0300
1025,Токарь-расточник 5 разряда,,,,Нытва,2022-12-26T08:14:57+0300
1026,Инженер-механик (п.Керамкомбинат),45000.0,68000.0,RUR,Линево (Новосибирская область),2022-12-26T08:37:01+0300
1027,Оператор-наладчик,50000.0,,RUR,Гатчина,2022-12-26T08:29:33+0300
1028,Аналитик-консультант 1С,80000.0,,RUR,Смоленск,2022-12-26T08:48:04+0300
1029,Оператор намоточного станка,35000.0,43000.0,RUR,Воронеж,2022-12-26T08:14:27+0300
1030,Руководитель команды разработки 1С,,,,Новосибирск,2022-12-26T08:23:56+0300
1031,Middle Frontend developer,,,,Алматы,2022-12-26T08:43:47+0300
1032,Специалист технической поддержки (электронный документооборот),,,,Саратов,2022-12-26T08:19:59+0300
1033,Специалист технической поддержки,39000.0,40000.0,RUR,Ростов-на-Дону,2022-12-26T08:33:58+0300
1034,Оператор станков с ЧПУ,,65000.0,RUR,Владимир,2022-12-26T08:19:09+0300
1035,Senior/Middle Front-end Разработчик,,,,Ташкент,2022-12-26T08:08:46+0300
1036,Инженер-программист 1 категории,150000.0,,RUR,Санкт-Петербург,2022-12-26T08:17:42+0300
1037,Технический специалист (инженер),55000.0,60000.0,RUR,Екатеринбург,2022-12-26T08:07:56+0300
1038,Ведущий системный администратор,,110000.0,RUR,Москва,2022-12-26T08:00:47+0300
1039,Специалист технической поддержки,30000.0,,RUR,Тюмень,2022-12-26T08:12:09+0300
1040,Оператор станков с ЧПУ,80000.0,90000.0,RUR,Оренбург,2022-12-26T08:43:05+0300
1041,Инженер по ремонту телефонов (ТЦ Сибирский Молл),35000.0,60000.0,RUR,Новосибирск,2022-12-26T08:15:41+0300
1042,Оператор станков с ЧПУ,80000.0,90000.0,RUR,Набережные Челны,2022-12-26T08:43:26+0300
1043,Оператор станков с ЧПУ,80000.0,90000.0,RUR,Магнитогорск,2022-12-26T08:43:33+0300
1044,Системный инженер,60000.0,,RUR,Сургут,2022-12-26T08:51:24+0300
1045,Старший системный инженер,,,,Владивосток,2022-12-26T08:28:22+0300
1046,Механик по выпуску ТС,52200.0,52200.0,RUR,Тучково,2022-12-26T08:58:10+0300
1047,Инженер-программист на производство,65000.0,65000.0,RUR,Москва,2022-12-26T08:15:04+0300
1048,Сервисный инженер/механик,40000.0,,RUR,Нижний Новгород,2022-12-26T08:44:41+0300
1049,Токарь,80000.0,90000.0,RUR,Челябинск,2022-12-26T08:40:18+0300
1050,Ведущий специалист отдела регионального ИТ сервиса,,38000.0,RUR,Пятигорск,2022-12-26T08:47:00+0300
1051,Оператор станков с ЧПУ,80000.0,90000.0,RUR,Белорецк,2022-12-26T08:42:55+0300
1052,Системный аналитик 1С: Зарплата и управление персоналом (ЗУП),,,,Москва,2022-12-26T08:44:09+0300
1053,Системный инженер,60000.0,,RUR,Югорск,2022-12-26T08:51:24+0300
1054,Сетевой инженер (Enterprise network),,,,Москва,2022-12-26T08:11:10+0300
1055,Сервис-инженер,,,,Москва,2022-12-26T08:33:58+0300
1056,Консультант 1С,60000.0,,RUR,Санкт-Петербург,2022-12-26T08:56:51+0300
1057,Риск-менеджер / Методолог-аналитик отдела рисков,,,,Санкт-Петербург,2022-12-26T08:10:36+0300
1058,Ведущий программист 1С,,,,Санкт-Петербург,2022-12-26T08:06:46+0300
1059,Системный аналитик (Middle/Senior/Lead),,,,Томск,2022-12-26T08:35:52+0300
1060,Разработчик 1С,,180000.0,RUR,Новосибирск,2022-12-26T08:40:01+0300
1061,Руководитель ИТ-проектов,90000.0,,RUR,Ижевск,2022-12-26T08:47:09+0300
1062,Java-разработчик (Team Lead),,,,Москва,2022-12-26T08:40:30+0300
1063,Механик,42700.0,,RUR,Рязань,2022-12-26T08:23:44+0300
1064,Механик по ремонту автотранспорта,,50000.0,RUR,Ставрополь,2022-12-26T08:57:26+0300
1065,Специалист по информационной безопасности,82000.0,120000.0,RUR,Москва,2022-12-26T08:40:14+0300
1066,Токарь 3-4 разряда,40000.0,50000.0,RUR,Хабаровск,2022-12-26T08:10:52+0300
1067,Системный администратор,,,,Москва,2022-12-26T08:39:08+0300
1068,Руководитель проектов 1С,,,,Санкт-Петербург,2022-12-26T08:10:53+0300
1069,Токарь-расточник,50000.0,,RUR,Челябинск,2022-12-26T08:53:20+0300
1070,Менеджер по внедрению новых проектов,50000.0,70000.0,RUR,Екатеринбург,2022-12-26T08:40:53+0300
1071,Фрезеровщик,40000.0,60000.0,RUR,Кемерово,2022-12-26T08:04:16+0300
1072,Токарь,70000.0,80000.0,RUR,Магнитогорск,2022-12-26T08:40:47+0300
1073,Инженер-электроник,52000.0,75000.0,RUR,Самара,2022-12-26T08:14:23+0300
1074,PHP Developer (Symfony/Laravel) Middle/Senior,200000.0,,RUR,Москва,2022-12-26T08:44:51+0300
1075,Механик-наладчик (пищевое производство),55000.0,,RUR,Краснодар,2022-12-26T08:40:54+0300
1076,Программист/разработчик Linux,200000.0,,RUR,Москва,2022-12-26T08:37:05+0300
1077,Инженер-механик,45000.0,45000.0,RUR,Бузулук,2022-12-26T08:38:44+0300
1078,Ведущий специалист отдела корпоративного ИТ сервиса,70000.0,80000.0,RUR,Москва,2022-12-26T08:47:09+0300
1079,Представитель службы технической поддержки клиентов,,,,Ташкент,2022-12-26T08:05:58+0300
1080,Frontend-разработчик (Team Lead),,,,Москва,2022-12-26T08:40:20+0300
1081,Консультант - аналитик 1С (удаленно),120000.0,,RUR,Новосибирск,2022-12-26T08:31:12+0300
1082,Менеджер проекта,50000.0,70000.0,RUR,Екатеринбург,2022-12-26T08:39:27+0300
1083,Оператор станков с ЧПУ,80000.0,90000.0,RUR,Златоуст,2022-12-26T08:43:47+0300
1084,Главный специалист корпоративного ит сервиса,,,,Казань,2022-12-26T08:46:21+0300
1085,Чат-менеджер (в офис),25000.0,,RUR,Екатеринбург,2022-12-26T08:57:35+0300
1086,Младший системный аналитик департамента ИТ,,,,Челябинск,2022-12-26T08:44:08+0300
1087,Техник по эксплуатации КД (Фонтанка 76),,46000.0,RUR,Санкт-Петербург,2022-12-26T08:05:29+0300
1088,IT Service Manager по управлению доступностью и конфигурациями,,,,Москва,2022-12-26T08:11:10+0300
1089,Токарь-расточник 5 разряда,,,,Краснокамск,2022-12-26T08:22:09+0300
1090,Пресейл по печатному оборудованию,40000.0,60000.0,RUR,Новосибирск,2022-12-26T08:51:07+0300
1091,Разработчик BI (Backend),,,,Москва,2022-12-26T08:51:30+0300
1092,Программист 1С (отдел ПО),80000.0,120000.0,RUR,Челябинск,2022-12-26T08:43:25+0300
1093,Заместитель руководителя IT-службы,,,,Краснодар,2022-12-26T08:00:22+0300
1094,Middle+ Fullstack Javascript Developer,150000.0,,RUR,Новосибирск,2022-12-26T08:56:41+0300
1095,Системный инженер (направление прикладных систем),60000.0,,RUR,Екатеринбург,2022-12-26T08:51:24+0300
1096,Специалист технической поддержки 1С (департамент ИТ),40000.0,,RUR,Челябинск,2022-12-26T08:45:16+0300
1097,Инженер ОПС,,50000.0,RUR,Кострома,2022-12-26T08:58:29+0300
1098,Системный администратор,,,,Санкт-Петербург,2022-12-26T08:37:10+0300
1099,Бизнес-аналитик на проекты внедрения,,,,Тюмень,2022-12-26T08:55:21+0300
1100,"Токарь (станочник широкого профиля), 5-6 разряды",57700.0,,RUR,Белово,2022-12-26T08:41:03+0300
1101,Фрезеровщик,55000.0,,RUR,Вологда,2022-12-26T08:32:07+0300
1102,Специалист по развитию проекта (менеджер по продукту),60000.0,,RUR,Екатеринбург,2022-12-26T08:38:54+0300
1103,Оператор автоматических и полуавтоматических линий станков и установок,35000.0,40000.0,RUR,Пермь,2022-12-26T08:52:49+0300
1104,Токарь,80000.0,90000.0,RUR,Ижевск,2022-12-26T08:40:38+0300
1105,Программист-наладчик станков с ЧПУ,,,,Нижний Новгород,2022-12-26T08:30:33+0300
1106,Главный бизнес-аналитик,,,,Москва,2022-12-26T08:34:41+0300
1107,Программист 1C,,,,Саратов,2022-12-26T08:59:15+0300
1108,Специалист внедрения и сопровождения 1С ERP,,,,Москва,2022-12-26T08:36:44+0300
1109,Фрезеровщик,,60000.0,RUR,Владимир,2022-12-26T08:19:17+0300
1110,Стажер-резчик,,,,Железнодорожный,2022-12-26T08:25:34+0300
