,name,salary_from,salary_to,salary_currency,area_name,published_at
0,Специалист по проведению общих собраний собственников в сфере ЖКХ,50000.0,120000.0,RUR,Зеленоград,2022-12-26T00:55:32+0300
1,Журналист-редактор,,50000.0,RUR,Санкт-Петербург,2022-12-26T00:07:53+0300
2,Инженер-электронщик,80000.0,80000.0,RUR,Санкт-Петербург,2022-12-26T00:24:32+0300
3,Механик,,,,Белгород,2022-12-26T00:15:00+0300
4,Дизайнер/Графический дизайнер/Графический (web) дизайнер,35000.0,50000.0,RUR,Саранск,2022-12-26T00:27:56+0300
5,Менеджер по продукту / Бренд менеджер,70000.0,130000.0,RUR,Москва,2022-12-26T00:53:24+0300
6,PHP-программист middle laravel,4000.0,,BYR,Минск,2022-12-26T00:15:17+0300
7,Senior Product Manager,,,,Санкт-Петербург,2022-12-26T00:02:09+0300
8,Кромщик/оператор кромкооблицовочного станка,70000.0,80000.0,RUR,Люберцы,2022-12-26T00:39:09+0300
9,Руководитель отдела/направления ИБ,,,,Москва,2022-12-26T00:05:53+0300
10,Ведущий аналитик (ценные бумаги),,,,Самара,2022-12-26T00:36:00+0300
11,Java/Kotlin developer,,,,Москва,2022-12-26T00:41:13+0300
12,Руководитель проектов,,,,Череповец,2022-12-26T00:21:35+0300
13,Главный механик,40600.0,40600.0,RUR,Ярославль,2022-12-26T00:57:26+0300
14,Менеджер отдела сервиса (Кассовое оборудование),80460.0,86200.0,RUR,Москва,2022-12-26T00:15:26+0300
15,Программист 1C (Удаленный формат работы),100000.0,250000.0,RUR,Москва,2022-12-26T00:12:08+0300
16,Senior Android разработчик (удаленно),350000.0,,RUR,Санкт-Петербург,2022-12-26T00:01:32+0300
17,Tech Lead Java,,,,Москва,2022-12-26T00:41:13+0300
18,Руководитель проектов 1C,150000.0,300000.0,RUR,Москва,2022-12-26T00:12:09+0300
19,DevOps engineer,,,,Москва,2022-12-26T00:41:13+0300
20,Аналитик 1С (WMS системы),,130000.0,RUR,Москва,2022-12-26T00:12:09+0300
21,Lead DevOps,,,,Москва,2022-12-26T00:41:13+0300
22,Аналитик 1С (Налоговый мониторинг),,,,Москва,2022-12-26T00:12:09+0300
23,Аналитик данных,,,,Владивосток,2022-12-26T01:49:29+0300
24,Дизайнер - Менеджер стройки,100000.0,,RUR,Москва,2022-12-26T01:31:43+0300
25,Product manager / Продакт менеджер,150000.0,250000.0,RUR,Москва,2022-12-26T01:43:58+0300
26,Менеджер по развитию программ лояльности,,,,Москва,2022-12-26T01:44:03+0300
27,Product Owner (Карточные продукты),,,,Москва,2022-12-26T01:01:17+0300
28,Токарь,90000.0,,RUR,Москва,2022-12-26T01:54:06+0300
29,Программист 1С-Системный администратор,75000.0,,RUR,Воронеж,2022-12-26T01:54:04+0300
30,Региональный менеджер,68750.0,120000.0,RUR,Екатеринбург,2022-12-26T01:41:37+0300
31,Junior project manager в web-студию,35000.0,60000.0,RUR,Минск,2022-12-26T01:36:42+0300
32,Strong Middle React Engineer,,,,Алматы,2022-12-26T01:38:13+0300
33,Product Owner в дивизион «Защитные страховые продукты и сервисы»,,,,Москва,2022-12-26T01:00:45+0300
34,Сервисный инженер по ремонту холодильного оборудования / холодильщик,60000.0,,RUR,Санкт-Петербург,2022-12-26T01:49:53+0300
35,Инженер слаботочных систем,,,,Москва,2022-12-26T01:10:05+0300
36,Техник по обслуживанию пожарных сигнализаций,60000.0,,RUR,Москва,2022-12-26T01:10:22+0300
37,Специалист по внедрению и сопровождению экономического ПО на платформе Гедымин,2500.0,,BYR,Минск,2022-12-26T01:20:00+0300
38,Team lead of Analytics & Projects stream,,,,Алматы,2022-12-26T01:21:40+0300
39,Senior/Lead Python Developer,,,,Алматы,2022-12-26T01:45:24+0300
40,Senior/Lead Scala Developer,,,,Алматы,2022-12-26T01:48:35+0300
41,Стажёр 2D-художник персонажей,15000.0,30000.0,RUR,Санкт-Петербург,2022-12-26T02:19:59+0300
42,Механик,,,,Магадан,2022-12-26T02:29:04+0300
43,Инженер поддержки бизнес-приложений (стажер),,,,Москва,2022-12-26T02:27:09+0300
44,Product Designer / Продуктовый дизайнер / UI дизайнер (удаленно),200000.0,300000.0,RUR,Москва,2022-12-26T02:03:01+0300
45,Менеджер проекта,,,,Москва,2022-12-26T02:07:12+0300
46,Дизайнер,60000.0,60000.0,RUR,Владивосток,2022-12-26T02:03:52+0300
47,"Back-end разработчик - стажер (php, Java/Kotlin)",15000.0,30000.0,RUR,Минск,2022-12-26T02:03:25+0300
48,Ведущий инженер сопровождения прикладных банковских сервисов (автоматизированных систем),,,,Хабаровск,2022-12-26T02:47:57+0300
49,Специалист аналитической службы,68000.0,,RUR,Благовещенск (Амурская область),2022-12-26T02:35:08+0300
50,Механик клинингового оборудования,70000.0,100000.0,RUR,Москва,2022-12-26T02:35:17+0300
51,Python разработчик (проект Лаборатория измерительных систем),,,,Москва,2022-12-26T02:06:32+0300
52,Python разработчик (проект Лаборатория измерительных систем),,,,Санкт-Петербург,2022-12-26T02:06:32+0300
53,Системный аналитик,100000.0,150000.0,RUR,Владивосток,2022-12-26T02:03:51+0300
54,Ведущий инженер-программист,95000.0,99000.0,RUR,Владивосток,2022-12-26T02:00:37+0300
55,Аналитик данных/Middle Data scientist (Computer Vision),,,,Санкт-Петербург,2022-12-26T02:12:36+0300
56,Программист 1С,170000.0,210000.0,RUR,Владивосток,2022-12-26T02:20:40+0300
57,Аналитик данных/Middle Data scientist (Computer Vision),,,,Москва,2022-12-26T02:12:36+0300
58,Техник,35000.0,35000.0,RUR,Хабаровск,2022-12-26T02:20:01+0300
59,Инженер по тестированию техники,60000.0,70000.0,RUR,Артем,2022-12-26T02:10:40+0300
60,Администратор системы дистанционного обучения (iSpring),40000.0,45000.0,RUR,Владивосток,2022-12-26T02:03:52+0300
61,DevOps (удаленная работа),,,,Москва,2022-12-26T02:15:16+0300
62,Python разработчик (проект Лаборатория измерительных систем),,,,Череповец,2022-12-26T02:06:32+0300
63,Начальник Сектора сопровождения и развития ДБО,,,,Владивосток,2022-12-26T02:46:29+0300
64,Бизнес-аналитик,45000.0,80000.0,RUR,Владивосток,2022-12-26T02:03:52+0300
65,Аналитик данных/Middle Data scientist (Computer Vision),,,,Череповец,2022-12-26T02:12:36+0300
66,Инженер по тестированию техники,60000.0,70000.0,RUR,Новый (Приморский край),2022-12-26T02:10:40+0300
67,Редактор контента о картах и сбережениях,,,,Москва,2022-12-26T02:27:12+0300
68,Системный администратор,,,,Владивосток,2022-12-26T02:03:51+0300
69,Инженер по тестированию техники,60000.0,70000.0,RUR,Вольно-Надеждинское,2022-12-26T02:10:40+0300
70,Программист / разработчик 1С (подработка),,,,Москва,2022-12-26T02:23:00+0300
71,Аналитик 1С,60000.0,100000.0,RUR,Владивосток,2022-12-26T02:03:52+0300
72,Старший системный администратор,,,,Владивосток,2022-12-26T02:03:52+0300
73,Специалист кассовых систем,65000.0,70000.0,RUR,Владивосток,2022-12-26T02:03:52+0300
74,Менеджер по проектам (Project manager),,,,Владивосток,2022-12-26T02:03:52+0300
75,Руководитель проектного офиса,,,,Владивосток,2022-12-26T02:03:52+0300
76,Ведущий специалист 1С,140000.0,,RUR,Владивосток,2022-12-26T02:03:52+0300
77,Программист 1С,100000.0,,RUR,Владивосток,2022-12-26T02:03:52+0300
78,Линейный механик,130000.0,190000.0,RUR,Хабаровск,2022-12-26T03:47:17+0300
79,Руководитель службы эксплуатации ЦОД (релокация),180000.0,,RUR,Иркутск,2022-12-26T03:28:49+0300
80,Сервисный инженер,150000.0,,RUR,Москва,2022-12-26T03:23:29+0300
81,Дизайнер,50000.0,55000.0,RUR,Владивосток,2022-12-26T03:10:43+0300
82,Руководитель проектов,40000.0,,RUR,Биробиджан,2022-12-26T03:31:07+0300
83,Главный механик (Хабаровск),130000.0,,RUR,Хабаровск,2022-12-26T03:56:01+0300
84,Токарь,30000.0,,RUR,Прокопьевск,2022-12-26T03:35:12+0300
85,Контент-менеджер,45000.0,45000.0,RUR,Благовещенск (Амурская область),2022-12-26T03:11:56+0300
86,Графический дизайнер на digital-макеты,,,,Санкт-Петербург,2022-12-26T03:15:22+0300
87,Специалист технической поддержки,30000.0,45000.0,RUR,Братск,2022-12-26T03:32:06+0300
88,Токарь-универсал (АО СибЭР),60000.0,85000.0,RUR,Новосибирск,2022-12-26T03:15:07+0300
89,Разработчик C#,80000.0,200000.0,RUR,Новосибирск,2022-12-26T03:23:20+0300
90,Менеджер СМК (бизнес-аналитик),35000.0,,RUR,Биробиджан,2022-12-26T03:25:28+0300
91,Менеджер по продлению договоров и сопровождению клиентов,55000.0,,RUR,Красноярск,2022-12-26T03:22:21+0300
92,Оператор станка с ЧПУ лазерной и плазменной резки,50000.0,,RUR,Барнаул,2022-12-26T03:51:11+0300
93,Программист 1С,90000.0,,RUR,Благовещенск (Амурская область),2022-12-26T03:02:39+0300
94,Инженер-теплотехник/монтажник,60000.0,100000.0,RUR,Новосибирск,2022-12-26T03:55:51+0300
95,Фрезеровщик 5 разряда (АО СибЭР),65000.0,85000.0,RUR,Новосибирск,2022-12-26T03:18:47+0300
96,Специалист личной поддержки Теле2,35000.0,45000.0,RUR,Иркутск,2022-12-26T03:53:24+0300
97,Главный механик,60000.0,,RUR,Барнаул,2022-12-26T03:55:21+0300
98,Токарь-расточник 5 разряда (АО СибЭР),70000.0,,RUR,Новосибирск,2022-12-26T03:18:05+0300
99,Руководитель транспортного отдела,50000.0,,RUR,Якутск,2022-12-26T03:54:48+0300
100,Оформитель торгового комплекса (д. Елино),45000.0,55000.0,RUR,Зеленоград,2022-12-26T03:19:32+0300
101,Middle программист 1С,150000.0,170000.0,RUR,Владивосток,2022-12-26T03:53:25+0300
102,Junior программист 1С,50000.0,80000.0,RUR,Владивосток,2022-12-26T03:54:05+0300
103,"Мастер сервисного центра, ТЦ Фортуна Гранд",32300.0,,RUR,Иркутск,2022-12-26T03:58:24+0300
104,Оформитель торгового комплекса,28800.0,31100.0,RUR,Челябинск,2022-12-26T03:19:44+0300
105,Оформитель торгового комплекса (улица Кузоваткина),39000.0,47000.0,RUR,Нижневартовск,2022-12-26T03:19:31+0300
106,Главный специалист отдела информационных технологий и связи,,,,Барнаул,2022-12-26T04:07:10+0300
107,Дизайнер,,,,Новосибирск,2022-12-26T04:17:13+0300
108,Дизайнер-иллюстратор,40000.0,,RUR,Красноярск,2022-12-26T04:52:19+0300
109,React - разработчик | React Developer в продукт,,,,Санкт-Петербург,2022-12-26T04:37:56+0300
110,Менеджер группы по операционной эффективности и цифровизации,,,,Междуреченск,2022-12-26T04:50:34+0300
111,DevOps / Системный администратор,40000.0,,RUR,Волгоград,2022-12-26T04:13:32+0300
112,Системный администратор,60000.0,60000.0,RUR,Иркутск,2022-12-26T04:09:44+0300
113,Механик на производстве,80000.0,,RUR,Усть-Илимск,2022-12-26T04:44:36+0300
114,Эксперт 1 линии SOC,80000.0,,RUR,Новосибирск,2022-12-26T04:59:26+0300
115,Сетевой администратор,60000.0,,RUR,Владивосток,2022-12-26T04:33:18+0300
116,Специалист по мониторингу систем спутникового слежения,,,,Краснообск,2022-12-26T04:48:38+0300
117,Механик на производстве,80000.0,,RUR,Братск,2022-12-26T04:45:32+0300
118,Менеджер группы по операционной эффективности и цифровизации,,,,Новосибирск,2022-12-26T04:50:28+0300
119,Сервис-инженер промышленного оборудования,,,,Иркутск,2022-12-26T04:08:12+0300
120,Специалист службы поддержки,45000.0,55000.0,RUR,Владивосток,2022-12-26T04:17:47+0300
121,Инженер сервисной службы,40000.0,70000.0,RUR,Красноярск,2022-12-26T04:56:15+0300
122,Менеджер группы по операционной эффективности и цифровизации,,,,Казань,2022-12-26T04:50:38+0300
123,Менеджер группы по операционной эффективности и цифровизации,,,,Новокузнецк,2022-12-26T04:50:13+0300
124,Механик на производстве,80000.0,,RUR,Усть-Кут,2022-12-26T04:46:07+0300
125,Оператор станков с ЧПУ,45000.0,70000.0,RUR,Новосибирск,2022-12-26T04:49:16+0300
126,Специалист по составлению плана расстановки товара,34000.0,43000.0,RUR,Новосибирск,2022-12-26T04:24:28+0300
127,Разработчик C/C++,,,,Новосибирск,2022-12-26T04:18:07+0300
128,Специалист нормативно-справочной информации,,,,Новосибирск,2022-12-26T04:52:47+0300
129,Инженер по обеспечению функционирования сетей связи,35000.0,50000.0,RUR,Владивосток,2022-12-26T04:50:55+0300
130,Специалист нормативно-справочной информации,,,,Прокопьевск,2022-12-26T04:53:11+0300
131,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Челябинск,2022-12-26T04:53:04+0300
132,DevOps инженер,,,,Владивосток,2022-12-26T04:51:18+0300
133,Сервисный инженер центра инжинирингового сервиса УГОК,,,,Санкт-Петербург,2022-12-26T04:53:04+0300
134,Специалист технической поддержки программного обеспечения,30000.0,,RUR,Новосибирск,2022-12-26T04:24:28+0300
135,Оператор станков ЧПУ,35000.0,50000.0,RUR,Красноярск,2022-12-26T04:56:02+0300
136,Инженер-программист микроконтроллеров/разработчик IoT-устройств,,,,Новосибирск,2022-12-26T04:18:03+0300
137,Проектный менеджер,55000.0,115000.0,RUR,Владивосток,2022-12-26T04:17:47+0300
138,Токарь,20000.0,20000.0,RUR,Барнаул,2022-12-26T04:27:16+0300
139,Менеджер группы по операционной эффективности и цифровизации,,,,Прокопьевск,2022-12-26T04:50:30+0300
140,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Екатеринбург,2022-12-26T04:53:04+0300
141,Системный администратор,,,,Новосибирск,2022-12-26T04:23:33+0300
142,Инженер-программист,60000.0,,RUR,Владивосток,2022-12-26T04:35:30+0300
143,Инженер АСУ ТП,,,,Искитим,2022-12-26T04:53:32+0300
144,Эксперт 2 линии SOC,100000.0,,RUR,Новосибирск,2022-12-26T04:59:21+0300
145,Начальник проектного отдела,120000.0,,RUR,Кемерово,2022-12-26T04:39:01+0300
146,Токарь-фрезеровщик,40000.0,,RUR,Красноярск,2022-12-26T04:57:31+0300
147,Сервисный инженер центра инжинирингового сервиса (Удачнинский ГОК),,,,Санкт-Петербург,2022-12-26T04:53:04+0300
148,Токарь-расточник,,,,Новосибирск,2022-12-26T04:13:44+0300
149,Старший мастер по обслуживанию абонентов,41000.0,,RUR,Ангарск,2022-12-26T04:06:58+0300
150,Сетевой администратор,80000.0,,RUR,Владивосток,2022-12-26T04:51:12+0300
151,Руководитель автотранспортного предприятия,60000.0,80000.0,RUR,Красноярск,2022-12-26T04:52:18+0300
152,Арт-менеджер,,,,Красноярск,2022-12-26T04:52:20+0300
153,Сервисный инженер центра инжинирингового сервиса (Удачнинский ГОК),,,,Удачный,2022-12-26T04:53:04+0300
154,Ведущий эксперт (сопровождение систем SOC),120000.0,,RUR,Новосибирск,2022-12-26T04:59:14+0300
155,Механик участка по ремонту оборудования,50000.0,,RUR,Искитим,2022-12-26T04:14:23+0300
156,Системный администратор Linux,,,,Владивосток,2022-12-26T04:51:23+0300
157,Сервисный инженер центра инжинирингового сервиса (Айхальский ГОК),,,,Москва,2022-12-26T04:53:04+0300
158,Механик/Специалист по БДД,45200.0,,RUR,Красноярск,2022-12-26T04:54:52+0300
159,Механик технологического оборудования,41200.0,,RUR,Искитим,2022-12-26T04:53:32+0300
160,Фрезеровщик,45000.0,,RUR,Красноярск,2022-12-26T04:57:38+0300
161,"Программист 1С в сеть магазинов ""КУЗЯ""",70000.0,,RUR,Омск,2022-12-26T04:10:39+0300
162,Токарь,63000.0,65000.0,RUR,Новокузнецк,2022-12-26T04:53:29+0300
163,Интегратор/разработчик Bitrix24,30000.0,,RUR,Иркутск,2022-12-26T04:57:32+0300
164,Сервисный инженер центра инжинирингового сервиса УГОК,,,,Кемерово,2022-12-26T04:53:04+0300
165,Фрезеровщик,,,,Барнаул,2022-12-26T04:17:03+0300
166,Инженер-руководитель по погрузо-разгрузочным работам,35000.0,50000.0,RUR,Омск,2022-12-26T04:10:40+0300
167,Сервисный инженер центра инжинирингового сервиса УГОК,,,,Воркута,2022-12-26T04:53:04+0300
168,Сервисный инженер центра инжинирингового сервиса УГОК,,,,Удачный,2022-12-26T04:53:04+0300
169,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Нижний Новгород,2022-12-26T04:53:04+0300
170,Механик по сервису (Дистрибьютор строительной техники Сase),50000.0,160000.0,RUR,Новосибирск,2022-12-26T04:39:02+0300
171,Менеджер группы по операционной эффективности и цифровизации,,,,Томск,2022-12-26T04:50:42+0300
172,Сервисный инженер центра инжинирингового сервиса Айхальский ГОК,,,,Иркутск,2022-12-26T04:53:04+0300
173,Директор парка,,,,Красноярск,2022-12-26T04:52:17+0300
174,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Мирный (Республика Саха (Якутия)),2022-12-26T04:53:04+0300
175,Технический специалист,40000.0,,RUR,Красноярск,2022-12-26T04:48:30+0300
176,Руководитель центра мониторинга и реагирования на инциденты Security Operation Center (SOC),,,,Новосибирск,2022-12-26T04:59:32+0300
177,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Череповец,2022-12-26T04:53:04+0300
178,Техник ОПС,50000.0,50000.0,RUR,Красноярск,2022-12-26T04:52:19+0300
179,Старший специалист по банковским картам,34000.0,,RUR,Владивосток,2022-12-26T04:47:15+0300
180,Сервисный инженер центра инжинирингового сервиса Айхальский ГОК,,,,Айхал,2022-12-26T04:53:04+0300
181,Ведущий инженер-программист,90000.0,,RUR,Владивосток,2022-12-26T04:35:20+0300
182,Сервисный инженер центра инжинирингового сервиса (Удачнинский ГОК),,,,Новокузнецк,2022-12-26T04:53:04+0300
183,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Томск,2022-12-26T04:53:04+0300
184,Токарь,,,,Ачинск,2022-12-26T04:49:19+0300
185,Сервисный инженер центра инжинирингового сервиса Айхальский ГОК,,,,Кемерово,2022-12-26T04:53:04+0300
186,Специалист по обучению 1С,70000.0,90000.0,RUR,Владивосток,2022-12-26T04:17:47+0300
187,Директор ресторана,,,,Красноярск,2022-12-26T04:52:18+0300
188,HTML-верстальщик (Новосибирск),40000.0,,RUR,Новосибирск,2022-12-26T05:22:33+0300
189,Дизайнер,,34500.0,KGS,Бишкек,2022-12-26T05:27:22+0300
190,Главный специалист (Пресс-служба),70000.0,,RUR,Омск,2022-12-26T05:22:17+0300
191,Графический дизайнер,30000.0,35000.0,RUR,Кемерово,2022-12-26T05:48:18+0300
192,Специалист технической поддержки информационных систем,,45000.0,RUR,Барнаул,2022-12-26T05:49:01+0300
193,Инженер-механик,85000.0,,RUR,Красноярск,2022-12-26T05:28:53+0300
194,Junior project manager в web-студию,45000.0,70000.0,RUR,Москва,2022-12-26T05:07:13+0300
195,Специалист-аналитик,35000.0,35000.0,RUR,Красноярск,2022-12-26T05:47:22+0300
196,Системный администратор,75000.0,95000.0,RUR,Новосибирск,2022-12-26T05:59:27+0300
197,Продуктовый аналитик,80000.0,,RUR,Новосибирск,2022-12-26T05:33:13+0300
198,Системный администратор,,,,Новосибирск,2022-12-26T05:36:15+0300
199,SQL-разработчик,140000.0,,RUR,Новосибирск,2022-12-26T05:37:38+0300
200,Менеджер строительного проекта,,,,Хабаровск,2022-12-26T05:27:20+0300
201,Продуктовый аналитик,80000.0,,RUR,Томск,2022-12-26T05:33:15+0300
202,Инженер-программист,,,,Москва,2022-12-26T05:41:19+0300
203,Контролёр технического состояния транспортных средств,45000.0,45000.0,RUR,Новосибирск,2022-12-26T05:23:42+0300
204,Системный администратор,55000.0,,RUR,Барнаул,2022-12-26T05:41:45+0300
205,Системный администратор,50000.0,,RUR,Новосибирск,2022-12-26T05:24:50+0300
206,Программист Python,,,,Новосибирск,2022-12-26T05:22:23+0300
207,Техник связи,,,,Норильск,2022-12-26T05:57:03+0300
208,Аналитик,,,,Новосибирск,2022-12-26T05:33:18+0300
209,Рабочий по обслуживанию зданий и сооружений (Амурский поселок),,,,Омск,2022-12-26T05:51:18+0300
210,Инженер по оборудованию,55000.0,70000.0,RUR,Новосибирск,2022-12-26T05:59:19+0300
211,Мастер по ремонту компьютеров,50000.0,150000.0,RUR,Чита,2022-12-26T05:20:53+0300
212,Оператор станка с ЧПУ,45000.0,60000.0,RUR,Новосибирск,2022-12-26T05:37:20+0300
213,Менеджер продукта,,,,Новосибирск,2022-12-26T05:52:21+0300
214,"Монтажник слаботочных систем (охранно-пожарная сигнализация, видеонаблюдение, г.Темиртау)",250000.0,250000.0,KZT,Темиртау,2022-12-26T05:03:54+0300
215,Аккаунт-менеджер / BDM / по рекламодателям CPA / affiliate,,,,Москва,2022-12-26T05:51:32+0300
216,Менеджер строительного проекта,,,,Владивосток,2022-12-26T05:27:20+0300
217,Консультант 1C,,45000.0,RUR,Барнаул,2022-12-26T05:49:00+0300
218,Руководитель отдела продуктового дизайна,,,,Иркутск,2022-12-26T05:58:28+0300
219,Специалист технической поддержки второй линии,,,,Новосибирск,2022-12-26T05:09:01+0300
220,Технический писатель,,,,Новосибирск,2022-12-26T05:37:20+0300
221,Ведущий системный администратор,110000.0,130000.0,RUR,Владивосток,2022-12-26T05:19:10+0300
222,Разработчик ‎Android,,380000.0,RUR,Новосибирск,2022-12-26T05:22:33+0300
223,Гибщик металла,54000.0,,RUR,Красноярск,2022-12-26T05:30:15+0300
224,Java разработчик (Middle/Senior),200000.0,,RUR,Новосибирск,2022-12-26T05:33:24+0300
225,Токарь,300000.0,300000.0,KZT,Усть-Каменогорск,2022-12-26T05:23:34+0300
226,Инженер электросвязи,36000.0,,RUR,Тында,2022-12-26T05:00:14+0300
227,Токарь,35000.0,,RUR,Омск,2022-12-26T05:30:58+0300
228,Токарь-универсал,54000.0,,RUR,Красноярск,2022-12-26T05:30:15+0300
229,Системный администратор,70000.0,,RUR,Владивосток,2022-12-26T05:30:16+0300
230,Менеджер по проектам,60000.0,,RUR,Красноярск,2022-12-26T05:03:30+0300
231,Монтажник систем пожарной сигнализации и оповещения людей о пожаре,45000.0,75000.0,RUR,Новосибирск,2022-12-26T05:23:55+0300
232,Оператор технической поддержки,27000.0,32000.0,RUR,Красноярск,2022-12-26T05:41:47+0300
233,Маркетолог-аналитик,,,,Владивосток,2022-12-26T05:37:42+0300
234,Бизнес-аналитик,,,,Москва,2022-12-26T05:50:59+0300
235,Java программист / Java developer,,,,Новосибирск,2022-12-26T05:20:02+0300
236,"Сервис-менеджер, г. Славгород",25000.0,25000.0,RUR,Славгород (Алтайский край),2022-12-26T05:16:34+0300
237,Аналитик отдела продаж,45000.0,45000.0,RUR,Новосибирск,2022-12-26T05:26:19+0300
238,Руководитель проекта,,,,Алматы,2022-12-26T05:48:56+0300
239,Автор по информационной безопасности,,50000.0,RUR,Москва,2022-12-26T05:31:43+0300
240,Техник по обслуживанию кафе,50000.0,50000.0,RUR,Новосибирск,2022-12-26T05:04:02+0300
241,Actuary,,,,Астана,2022-12-26T05:11:01+0300
242,Инженер-программист АСУ,75000.0,,RUR,Новосибирск,2022-12-26T05:13:48+0300
243,Пишущий редактор в IT,,,,Омск,2022-12-26T05:22:17+0300
244,Руководитель отдела продуктового дизайна,,,,Красноярск,2022-12-26T05:59:56+0300
245,Руководитель службы заказчика (жилищное строительство),,,,Новосибирск,2022-12-26T05:16:02+0300
246,Токарь,29000.0,,RUR,Красноярск,2022-12-26T05:52:10+0300
247,Механик по эксплуатации климатического оборудования,39300.0,39300.0,RUR,Красноярск,2022-12-26T05:28:18+0300
248,Фрезеровщик на гидрофрезерный станок,40000.0,55000.0,RUR,Омск,2022-12-26T05:56:21+0300
249,Монтажник систем видеонаблюдения (ул.Алексеева),40000.0,,RUR,Красноярск,2022-12-26T05:40:26+0300
250,Фрезеровщик ЧПУ,60000.0,60000.0,RUR,Красноярск,2022-12-26T05:30:15+0300
251,Помощник системного администратора,28500.0,32000.0,RUR,Находка,2022-12-26T05:51:29+0300
252,Главный специалист,54000.0,,RUR,Екатеринбург,2022-12-26T05:10:57+0300
253,Middle QA Mobile Engineer Android/iOS,45000.0,70000.0,RUR,Новосибирск,2022-12-26T05:22:33+0300
254,Дизайнер корпусной мебели,50000.0,,RUR,Кемерово,2022-12-26T05:56:42+0300
255,Токарь-универсал,50000.0,60000.0,RUR,Челябинск,2022-12-26T05:53:19+0300
256,Бизнес-аналитик,150000.0,,RUR,Москва,2022-12-26T05:15:52+0300
257,Backend разработчик (PHP),100000.0,,RUR,Новосибирск,2022-12-26T05:33:28+0300
258,Технический специалист домофонии(без опыта),35000.0,,RUR,Красноярск,2022-12-26T05:41:40+0300
259,Специалист техподдержки 1С,50000.0,70000.0,RUR,Владивосток,2022-12-26T05:10:32+0300
260,QA Automation,,,,Санкт-Петербург,2022-12-26T05:46:02+0300
261,Наладчик оборудования с ЧПУ,40000.0,58000.0,RUR,Барнаул,2022-12-26T05:26:10+0300
262,DevOps-инженер,,,,Новосибирск,2022-12-26T05:59:00+0300
263,Программист 1С (УДАЛЕННО),60000.0,,RUR,Томск,2022-12-26T05:05:54+0300
264,Наладчик ОПС/техник ОПС,,,,Новосибирск,2022-12-26T05:23:55+0300
265,Middle Frontend developer (Vue.js/Nuxt),126000.0,193000.0,RUR,Новосибирск,2022-12-26T05:22:33+0300
266,Фрезеровщик,60000.0,60000.0,RUR,Красноярск,2022-12-26T05:30:15+0300
267,Бизнес-аналитик,,,,Новосибирск,2022-12-26T05:20:02+0300
268,"Сервис-менеджер, г. Бийск",25000.0,30000.0,RUR,Бийск,2022-12-26T05:16:18+0300
269,PHP-разработчик / PHP developer,,,,Новосибирск,2022-12-26T05:20:02+0300
270,Ведущий инженер-программист,80000.0,120000.0,RUR,Барнаул,2022-12-26T05:26:05+0300
271,Продакт-менеджер,44000.0,,RUR,Томск,2022-12-26T05:56:56+0300
272,Менеджер по работе с клиентами - Дизайнер мебели,60000.0,,RUR,Новосибирск,2022-12-26T05:45:14+0300
273,Senior Java developer,250000.0,,RUR,Новосибирск,2022-12-26T05:33:20+0300
274,1С Разработчик (remote),140000.0,200000.0,RUR,Новосибирск,2022-12-26T05:02:52+0300
275,Токарь на плавочно-расточной станок,55000.0,,RUR,Белово,2022-12-26T05:27:55+0300
276,Системный администратор (Академгородок),,,,Новосибирск,2022-12-26T05:20:02+0300
277,Сетевой инженер и администратор серверного оборудования,,,,Москва,2022-12-26T05:56:11+0300
278,Технический специалист,30000.0,,RUR,Красноярск,2022-12-26T05:40:52+0300
279,Actuary,,,,Алматы,2022-12-26T05:11:01+0300
280,Автор по информационной безопасности,,50000.0,RUR,Санкт-Петербург,2022-12-26T05:31:43+0300
281,Монтажник систем видеонаблюдения,30000.0,,RUR,Красноярск,2022-12-26T05:41:00+0300
282,Специалист по эксплуатации радиоподсистемы,30000.0,,RUR,Березники,2022-12-26T05:34:26+0300
283,Специалист по информационной безопасности,,,,Новосибирск,2022-12-26T05:38:52+0300
284,"Сервис-менеджер, г. Рубцовск",28000.0,28000.0,RUR,Рубцовск,2022-12-26T05:16:08+0300
285,Senior Frontend developer (Vue.js/Nuxt),194000.0,280000.0,RUR,Новосибирск,2022-12-26T05:22:33+0300
286,Руководитель проекта 1С ERP,,,,Новосибирск,2022-12-26T05:39:43+0300
287,Ведущий специалист (Бизнес-аналитик в ИТ сфере),50000.0,,RUR,Екатеринбург,2022-12-26T05:10:57+0300
288,Долбежник,35000.0,90000.0,RUR,Каменск-Уральский,2022-12-26T05:26:35+0300
289,Ученик мастера по ремонту крупно-бытовой техники,90000.0,110000.0,RUR,Новосибирск,2022-12-26T05:05:54+0300
290,Аналитик 1С ERP,,,,Новосибирск,2022-12-26T05:39:43+0300
291,Плавильщик металла и сплавов,41500.0,,RUR,Новоалтайск,2022-12-26T05:16:05+0300
292,Erlang разработчик,,,,Москва,2022-12-26T05:41:02+0300
